Major,Courses,
"Applied Linguistics BA","Required: Anthropology 4 or Psychology 10, Linguistics 11, 20, and completion of the equivalent of the sixth term of one foreign language.Required: Ten upper-division courses as follows: Linguistics 102 (or 103), 119A (or 120A), 119B (or 120B), 120C, 130 or C140, two courses selected from Linguistics 104, M141, 144, M146, 170, 191B, two upper-division elective courses taught in the Linguistics Department, and five courses selected from Anthropology 151, M152P, 152Q, 152R, 153, 154P, 154Q, M156, M157W, 159, Applied Linguistics 102W, 153, Arabic 180, 181, Armenian 110, Chicana and Chicano Studies 164SL, M167SL, M170SL, Communication 119, M125, M144A, French 105, German 140, Hebrew 180A, 180B, Iranian 131, Linguistics 114, M116, M146, M176A, M176B, M177, M178, Portuguese 100A, 100B, Slavic CM114, Spanish 100A, 100B, 160.",
"Applied Mathematics BS","Required: Mathematics 31A, 31B, 32A, 32B, 33A, 33B, Physics 1A, 1B, Program in Computing 10A, and one course from Chemistry and Biochemistry 20A, 20B, Physics 1C. Each course must be taken for a letter grade. The mathematics sequenced courses (Mathematics 31A, 31B, 32A, 32B, 33A, 33B) are calculated separately from the other preparation for the major courses and must be completed with a minimum overall 2.5 grade-point average and a grade of C or better in each course. The other preparation courses must be completed with a minimum overall 2.0 grade-point average and a grade of C− or better in each course.Required: Mathematics 115A, 131A, either 131B or 132, 142; two two-term sequences from two of the following categories: numerical analysis — courses 151A and 151B, probability and statistics — courses 170A and 170B, or Statistics 100A and 100B, differential equations — courses 134 and 135; four courses from 106 through 199 and Statistics 100A through 102C (appropriate courses from other departments may be substituted for some of the additional courses provided departmental consent is given before such courses are taken). Each course must be taken for a letter grade. The 12 courses must be completed with a minimum overall grade-point average of 2.0, with grades of C− or better in Mathematics 115A and 131A.",
"Statistics BS","Required: Mathematics 31A, 31B, 32A, 32B, 33A, Statistics 20, and one course from Statistics 10 through 13. Each course must be completed with a grade of C or better. Students who repeat any preparation course more than once are automatically denied admission to the major.Required: Statistics 100A, 100B, 100C, 101A, 101B, 101C, 102A, 102B, 102C, two capstone statistical consulting courses (140SL, 141SL), and two upper-division elective courses selected from 130, C151 through 199, Mathematics 131A, 131B, 151A, 151B, 170B, 171, 172B, 175. Elective courses from outside the department are selected in consultation with the undergraduate faculty adviser.",
"Arabic BA","Required: Arabic 1A, 1B, 1C, and History 9D or Middle Eastern Studies 50C.Required: Eleven courses, including (1) Arabic 102A and 102B and 102C or 108, 150 or M151, Islamic Studies M110 and (2) six courses from Anthropology M166Q, Arabic 103A, 103B, 103C, 105, M106, M107, M110, 111A, 111B, 111C, 112A, 112B, 112C, 115, 116A, 116B, 116C, 120, M123, 130, 132, C141, 142, M148, 150 or M151 (unless taken under item 1), M155, M171, 180, 181, Art History 119A, 119B, C120, Comparative Literature 100, History 105A, 105B, 105C, M106, 108B, 111A, 111B, 111C, Islamic Studies 130, 151, Political Science 132A, M132B, 157, 165. No more than one course may be credited through a proficiency test administered by the department. No more than two upper-division 4-unit independent study or directed research courses (197, 199) may be applied toward the major. Other courses, including extra-departmental courses, may be applied with consent of the adviser.",
"Architectural Studies BA","Required: Architecture and Urban Design 10A, 10B, 30.Required: Architecture and Urban Design 121, 122, 123, 131, 132, 133, 141, 142, 143.",
"Architectural Studies BA","Required: Architecture and Urban Design 10A, 10B, 30.Required: Architecture and Urban Design 121, 122, 123, 131, 132, 133, 141, 142, 143.",
"Art BA","Required: Art 1A, 1B, 11A, 11B, 11D, 11E, 31A, 31B, 31C, and one course from Art History 20 through 31.Required: A minimum of nine upper-division courses, including Art 100 or 132 or one course from an approved list of upper-division nonmajor courses, six courses from at least four of the following studio areas: 130, 133, 137, 140, 145, 147, 148, one course from Art History M110A through 185, one capstone senior studio course (Art 150), and 8 units of art electives.",
"Art History BA","Required: Two courses from Art History 20 through 24 and two courses from 27 through 31. It is strongly recommended that the courses be taken prior to enrollment in upper-division courses. Some of these courses serve as requisites to certain upper-division courses.Required: Eleven upper-division art history courses as follows:",
"Asian American Studies BA","Required: Two courses from Asian American Studies 10 or 10W, 20 or 20W, 30 or 30W, 40 or 40W, 50 or 50W.Required: A total of 12 upper-division courses, including one scholarly and creative communications in Asian American Studies course (Asian American Studies 101); one multidisciplinary approaches course selected from 103 through M129, M161, M166B, M166C, M168, M172C, 187A, 191A, M191F; one creative expression course selected from 112C, 120, 121, 122B, C142A, C142B, C142C, M173; one diversity course selected from 115, M116, 120, 130A, M130B, M130C, 131A, 131B, 131C, 132A, 133, 134, 143B, M143C, M160, M164, M165, M166A, 167, M169, 174A, 175A, 187C, 191C; one global/transnational perspectives course selected from 122A, 123, M163, M164, 170, 171A, 171B, 171C, M171D, 171E, M172A, 172B, M172C, 174B, 175B; one engaged scholarship course selected from 140SL, 141A, 141B, M143A, M168, 195; five Asian American Studies elective courses selected from 103 through 199; and one capstone project course selected from 185 or 186.",
"Asian Humanities BA","Required: Completion of the intermediate sequence in one Asian language offered by the department (e.g., Chinese 6, 10, Filipino 6, Hindi-Urdu 100C, Indonesian 6, Japanese 6, 10, Korean 6, 10, Thai 6, Vietnamese 6, or equivalent) and Asian 30 or one civilization course (e.g., Chinese 50, Japanese 50, 70, Korean 50) or one introduction to religions course (e.g., Asian M60, M60W, M61, Chinese M60, M60W, Korean M60, South Asian M60, Southeast Asian M60) within the department.Required: Three upper-division language courses in one Asian language offered by the department and eight upper-division electives within the department, including at least one course from at least four of the following areas: China, Japan, Korea, South Asia, or Southeast Asia.",
"Asian Humanities BA","Required: Completion of the intermediate sequence in one Asian language offered by the department (e.g., Chinese 6, 10, Filipino 6, Hindi-Urdu 100C, Indonesian 6, Japanese 6, 10, Korean 6, 10, Thai 6, Vietnamese 6, or equivalent) and Asian 30 or one civilization course (e.g., Chinese 50, Japanese 50, 70, Korean 50) or one introduction to religions course (e.g., Asian M60, M60W, M61, Chinese M60, M60W, Korean M60, South Asian M60, Southeast Asian M60) within the department.Required: Three upper-division language courses in one Asian language offered by the department and eight upper-division electives within the department, including at least one course from at least four of the following areas: China, Japan, Korea, South Asia, or Southeast Asia.",
"Asian Languages and Linguistics BA","Required: Completion of the intermediate sequence in one Asian language offered by the department (e.g., Chinese 6, 10, Filipino 6, Hindi-Urdu 100C, Indonesian 6, Japanese 6, 10, Korean 6, 10, Thai 6, Vietnamese 6, or equivalent) and Asian 30 or one civilization course (e.g., Chinese 50, Japanese 50, 70, Korean 50, Southeast Asian 70) or one introduction to religions course (e.g., Asian M60, M60W, M61, Chinese M60, M60W, Korean M60, South Asian M60, Southeast Asian M60) within the department; and Linguistics 20.Required: Eleven courses as follows: (1) five upper-division language courses in one Asian language offered by the department, or three upper-division language courses in one Asian language offered by the department and two upper-division language courses in a different Asian language offered by the department, (2) Asian 100 and 104, (3) two Asian linguistics courses selected from Asian CM124, Chinese 103, C120, Japanese M120, CM122, CM123, CM127, and (4) two upper-division electives within the department or from the Linguistics Department.",
"Asian Religions BA","Required: Completion of the intermediate sequence in one Asian language offered by the department (e.g., Chinese 6, 10, Filipino 6, Hindi-Urdu 100C, Indonesian 6, Japanese 6, 10, Korean 6, 10, Thai 6, Vietnamese 6, or equivalent) and Asian 30 or one introduction to religions course from Asian M60, M60W, M61, Chinese M60, M60W, Korean M60, South Asian M60, or Southeast Asian M60.Required: Three upper-division language courses in one Asian language offered by the department; six upper-division Asian religions courses within the department, including at least one course each concerning religions in China, Japan, Korea, and either South Asia or Southeast Asia; and two electives within the department.",
"Chinese BA","Required: Chinese 6 or 6A or 10 or equivalent, and one course from 50, M60, M60W, 70, 70W, or Asian 30.Required: Eleven courses as follows: (1) five language courses selected from either modern Chinese (Chinese 100A and 100B and 100C or 100I, 101A, 101B, 102A, C107A, C120, 130A or 130B, 135) or from premodern Chinese (110A, 110B, 110C, 140A through 140D, 165) — at least two language courses must be in the premodern language or texts, (2) one literature course selected from 130A, 130B, 131, 135, 140A through 140D, C150A, C150B, 151, 152, or M153, (3) three elective courses on China selected from C138, 139, 154, 155, C156, CM160, 165, 174, C175, 176, 180, 184, 185, 186, 187, 191A, 191B, or from items 1 and 2 above not used to fulfill another requirement, and (4) two additional upper-division elective courses within the department but outside China.",
"Japanese BA","Required: Japanese 6 or 10 or equivalent, and 50 or 70 or Asian 30.Required: Eleven courses as follows: (1) five language courses in modern or premodern language or texts selected from Japanese 100A and 100B and 100C or 100S, 100R, 101A and 101B and 101C or 101S, 103A, 103B, 104, 105A, 105B, 110A, 110B, M120, CM123, 130A, 130B, 140A, 140B, 140C, C149, 165, C180, (2) one literature course selected from C150, 151, 154, M156, 157, C159, 170, 172, 174, or 191A, (3) three elective courses on Japan selected from C112, CM122, CM123, CM127, 155, CM160, 161, 165, C171, 175, C182, 191B, 191C, or from items 1 and 2 above not used to fulfill another requirement, and (4) two additional upper-division elective courses within the department but outside Japan.",
"Korean BA","Required: Korean 6 or 6A or 10 or equivalent, and 50 or M60 or Asian 30.Required: Eleven courses as follows: (1) five language courses selected from Korean 100A, 100B, 100C, 101A and 101B and 101C or 101I, 102A, 102B, 102C, 103A, 103B, 103C, 104A, 104B, 104C, C105A, C105B, C105C, 106A, 106B, 106C, 107A, 107B, 107C, CM120, 165, 176, 178, (2) one literature course selected from 130A, 130B, 150, or C151, (3) three elective courses on Korea selected from CM127, C149, 154, 155, CM160, 165, 172, 175, 177, 180A, 180B, 180C, 181, 182, 183, 184A, 184B, 185, M186, 187, 191A, 191B, or from items 1 and 2 above not used to fulfill another requirement, and (4) two additional upper-division elective courses within the department but outside Korea.",
"Asian Languages and Linguistics BA","Required: Completion of the intermediate sequence in one Asian language offered by the department (e.g., Chinese 6, 10, Filipino 6, Hindi-Urdu 100C, Indonesian 6, Japanese 6, 10, Korean 6, 10, Thai 6, Vietnamese 6, or equivalent) and Asian 30 or one civilization course (e.g., Chinese 50, Japanese 50, 70, Korean 50, Southeast Asian 70) or one introduction to religions course (e.g., Asian M60, M60W, M61, Chinese M60, M60W, Korean M60, South Asian M60, Southeast Asian M60) within the department; and Linguistics 20.Required: Eleven courses as follows: (1) five upper-division language courses in one Asian language offered by the department, or three upper-division language courses in one Asian language offered by the department and two upper-division language courses in a different Asian language offered by the department, (2) Asian 100 and 104, (3) two Asian linguistics courses selected from Asian CM124, Chinese 103, C120, Japanese M120, CM122, CM123, CM127, and (4) two upper-division electives within the department or from the Linguistics Department.",
"Asian Religions BA","Required: Completion of the intermediate sequence in one Asian language offered by the department (e.g., Chinese 6, 10, Filipino 6, Hindi-Urdu 100C, Indonesian 6, Japanese 6, 10, Korean 6, 10, Thai 6, Vietnamese 6, or equivalent) and Asian 30 or one introduction to religions course from Asian M60, M60W, M61, Chinese M60, M60W, Korean M60, South Asian M60, or Southeast Asian M60.Required: Three upper-division language courses in one Asian language offered by the department; six upper-division Asian religions courses within the department, including at least one course each concerning religions in China, Japan, Korea, and either South Asia or Southeast Asia; and two electives within the department.",
"Asian Studies BA","Required: (1) International and Area Studies 1, (2) one area studies course from Art History 29, 31, Asian 30, 70A, 70B, 70C, Chinese 50 (or 50W), M60 (or M60W), Clusters 25A, History 9A, 9C, 9E, 11B (or 11BH), 97G, 97M, 97N, International and Area Studies 31, 33, Japanese 50, 70, Korean 50, M60, South Asian M60, Southeast Asian M60, or 90, (3) two international politics and markets courses from Economics 1, 2, Geography 4, 6, Political Science 50 (or 50R), Sociology 1, (4) two international societies and cultures courses from Anthropology 3, Comparative Literature 1D (or 2DW or 4DW), Ethnomusicology 5, 25, Geography 3, History 2B, 22, World Arts and Cultures 20, 33, and (5) one area-related foreign language sequence through the intermediate level (e.g., Chinese 6 or 6A, Filipino 6, Hindi-Urdu 100C, Indonesian 6, Japanese 6, Korean 6, Thai 6, Vietnamese 6). The language requirement can also be fulfilled in part or in total by taking a placement examination given through the appropriate language department. Each course must be taken for a letter grade.",
"Astrophysics BS","Required: Astronomy 81, 82; Physics 1A or 1AH, 1B or 1BH, 1C or 1CH, 4AL, 4BL, 17, 18L; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Program in Computing 10A or demonstrated ability to program. Systematic study of astrophysics should begin with Astronomy 81 and 82, taken in the second year. Recommended: Chemistry and Biochemistry 20A.Required: Astronomy 115, 117, 127, 140, 180; Physics 105A, 105B, 110A, 110B, 115A, 115B, 115C, 131. Recommended: Physics 108, M122, 124, 132, 140A, 140B.",
"Biophysics BS","Required: Physics 1A or 1AH, 1B or 1BH, 1C or 1CH, 4AL, 4BL, 17; Chemistry and Biochemistry 20A, 20B, 30A, 30B; Life Sciences 7A, 7B, 7C; Mathematics 31A, 31B, 32A, 32B, 33A, 33B. Recommended: Physics 18L.Required: Physics 105A, 110A, 110B, 112, 115A, 115B, 131, M180G, C187A, C187B; either course 144 or C186; Chemistry and Biochemistry 153A, 153L; Molecular, Cell, and Developmental Biology 100 or M140 or 165A. Recommended: Life Sciences 107, Physics 108, 117, Chemistry and Biochemistry CM160A, and guided research in chemistry and biochemistry, molecular, cell, and developmental biology, or physics. An overall 2.0 grade-point average in all upper-division courses is required.",
"Physics BA","Required: Physics 1A or 1AH, 1B or 1BH, 1C or 1CH, 4AL, 4BL, 17, 18L; Chemistry and Biochemistry 20A; Mathematics 31A, 31B, 32A, 32B, 33A, 33B. A detailed brochure on the major is available from the Undergraduate Office, 1-707A Physics and Astronomy Building.Required: Physics 105A, 105B, 110A, 110B, 112, 115A, 115B, 115C, 131, one course from the 180 series. A C average in the upper-division physics courses is required.",
"Physics BS","Required: Physics 1A or 1AH, 1B or 1BH, 1C or 1CH, 4AL, 4BL, 17, 18L; Chemistry and Biochemistry 20A; Mathematics 31A, 31B, 32A, 32B, 33A, 33B. A detailed brochure on the major is available from the Undergraduate Office, 1-707A Physics and Astronomy Building.Required: Physics 105A, 105B, 110A, 110B, 112, 115A, 115B, 115C, 131. The remainder of the course of study consists of a plan, to be worked out by students in consultation with their designated departmental adviser, that details which courses they take to complete the degree. There are four overall requirements: (1) the plan must be worked out five terms before students expect to graduate; (2) the plan must include two courses from Physics 118 and 180A through 180Q, which should be taken in the senior year; (3) there must be three additional upper-division courses in the plan, preferably selected from Physics 108, 114, 117, M122, 123, 124, 126, 127, 128, 132, 140A, 140B, 144, 150, C187A, 188A; (4) there must be written rationale for the plan. Except for the Physics 180 laboratories, the courses need not be in the Physics and Astronomy Department. However, it is expected that the courses fit into a coherent structure. It is important that the structure and rationale are thought out carefully, as the plan must be endorsed by the designated adviser and be approved by the departmental academic affairs committee. Preapproved plans of study are available from the undergraduate advisers. A C average is required in all courses taken to satisfy the major requirements.",
"Astrophysics BS","Required: Astronomy 81, 82; Physics 1A or 1AH, 1B or 1BH, 1C or 1CH, 4AL, 4BL, 17, 18L; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Program in Computing 10A or demonstrated ability to program. Systematic study of astrophysics should begin with Astronomy 81 and 82, taken in the second year. Recommended: Chemistry and Biochemistry 20A.Required: Astronomy 115, 117, 127, 140, 180; Physics 105A, 105B, 110A, 110B, 115A, 115B, 115C, 131. Recommended: Physics 108, M122, 124, 132, 140A, 140B.",
"Atmospheric and Oceanic Sciences BS","Required: Atmospheric and Oceanic Sciences 51, 90; Chemistry and Biochemistry 14A and 14B, or 20A and 20B; Earth, Planetary, and Space Sciences 71 (preferred) or Civil and Environmental Engineering M20 or Program in Computing 10A; Mathematics 3A, 3B, and 3C, or 31A, 31B, 32A, 32B, 33A, and 33B; Physics 1A or 1AH, 1B or 1BH, 1C or 1CH, 4AL, and 4BL, or 5A, 5B, and 5C.Required: Four courses from Atmospheric and Oceanic Sciences 101, 103, 104, M105, 107, 112, three additional upper-division atmospheric sciences courses selected in consultation with the undergraduate advisers, and two upper-division courses from a list of chemistry, mathematics, physics, and statistics courses selected in consultation with the undergraduate advisers.",
"Atmospheric and Oceanic Sciences/Mathematics BS","Required: Mathematics 31A, 31B, 32A, 32B, 33A, 33B, Physics 1A, 1B, 1C, Program in Computing 10A, and two courses selected from Atmospheric and Oceanic Sciences 1, 2, 3, 5. Physics 4AL and 4BL are recommended but not required. Chemistry and Biochemistry 14A and 14B (or 20A and 20B) may also be required, depending on atmospheric and oceanic sciences upper-division course selection. Each course must be taken for a letter grade and must be passed with a grade of C− or better, and students must have a minimum overall grade-point average of 2.0 for the courses.Required: Six mathematics courses, including Mathematics 115A, 131A, 134, and three elective courses selected from 115B, 131B, 135, 136, 142, 151A, 151B, 170A, 170B, one of which must be 115B, 131B, 151B, or 170B; six atmospheric and oceanic sciences courses, including three core courses selected from Atmospheric and Oceanic Sciences 101, 102, 103, 104, M105, and three elective courses selected from the five listed above (if not taken to satisfy the core requirement) or from C110, C115, M120, 130, 145, C160, C170, 180.",
"Climate Science BS","Required: Atmospheric and Oceanic Sciences 51; Chemistry and Biochemistry 14A and 14B, or 20A and 20B; Civil and Environmental Engineering M20 or Program in Computing 10A or an equivalent course selected in consultation with the undergraduate adviser; Mathematics 3A, 3B, and 3C, or 31A, 31B, 32A, and 33B; Physics 1A or 1AH, 1B or 1BH, 1C or 1CH, 4AL, and 4BL, or 5A, 5B, and 5C.Required: Atmospheric and Oceanic Sciences 101, M105, C110, 112, 145, and two additional upper-division atmospheric sciences courses selected from 103, 104, M106, 107, CM114, M120, 130, 141, C144, 155, C160, 180, and two upper-division policy/solutions or quantitative courses from a preapproved list. Upper-division electives may also be selected in consultation with the undergraduate advisers. Students preparing for graduate studies in climate science or other areas should discuss specific requirements with the undergraduate advisers.",
"Atmospheric and Oceanic Sciences/Mathematics BS","Required: Mathematics 31A, 31B, 32A, 32B, 33A, 33B, Physics 1A, 1B, 1C, Program in Computing 10A, and two courses selected from Atmospheric and Oceanic Sciences 1, 2, 3, 5. Physics 4AL and 4BL are recommended but not required. Chemistry and Biochemistry 14A and 14B (or 20A and 20B) may also be required, depending on atmospheric and oceanic sciences upper-division course selection. Each course must be taken for a letter grade and must be passed with a grade of C− or better, and students must have a minimum overall grade-point average of 2.0 for the courses.Required: Six mathematics courses, including Mathematics 115A, 131A, 134, and three elective courses selected from 115B, 131B, 135, 136, 142, 151A, 151B, 170A, 170B, one of which must be 115B, 131B, 151B, or 170B; six atmospheric and oceanic sciences courses, including three core courses selected from Atmospheric and Oceanic Sciences 101, 102, 103, 104, M105, and three elective courses selected from the five listed above (if not taken to satisfy the core requirement) or from C110, C115, M120, 130, 145, C160, C170, 180.",
"Biochemistry BS","Required: Chemistry and Biochemistry 20A (or 20AH), 20B (or 20BH), 20L, 30A, 30AL, 30B, 30BL, 30C; Mathematics 31A, 31B, 32A (33A strongly recommended); Physics 1A, 1B, and 1C (or 1AH, 1BH, and 1CH) and 4BL, or 5A, 5B, and 5C.Required: Chemistry and Biochemistry 110A, 153A, 153B, 153C, 153L, 154, 156; one additional upper-division or graduate course in chemistry and biochemistry; and three elective upper-division or graduate courses (12 units) approved by the undergraduate adviser (Microbiology, Immunology, and Molecular Genetics 101 highly recommended). Refer to the Undergraduate Advising Office website for a list of approved electives.",
"Biochemistry BS","Required: Chemistry and Biochemistry 20A (or 20AH), 20B (or 20BH), 20L, 30A, 30AL, 30B, 30BL, 30C; Mathematics 31A, 31B, 32A (33A strongly recommended); Physics 1A, 1B, and 1C (or 1AH, 1BH, and 1CH) and 4BL, or 5A, 5B, and 5C.Required: Chemistry and Biochemistry 110A, 153A, 153B, 153C, 153L, 154, 156; one additional upper-division or graduate course in chemistry and biochemistry; and three elective upper-division or graduate courses (12 units) approved by the undergraduate adviser (Microbiology, Immunology, and Molecular Genetics 101 highly recommended). Refer to the Undergraduate Advising Office website for a list of approved electives.",
"Chemistry BS","Required: Chemistry and Biochemistry 20A (or 20AH), 20B (or 20BH), 20L, 30A, 30AL, 30B, 30BL, 30C, 30CL; Mathematics 31A, 31B, 32A, 32B, 33B; Physics 1A, 1B, and 1C (or 1AH, 1BH, and 1CH), 4BL.Required: Chemistry and Biochemistry 110A, either 110B or C113B, 113A, 114 (or 114H), either 136 or 144, 153A, 153L, 171, 172, and two other upper-division or graduate courses in the department, including at least one additional laboratory course from 136, 144, 154, C174, 184, 185.Required: Chemistry and Biochemistry 20A (or 20AH), 20B (or 20BH), 20L, 30A, 30AL, 30B, 30BL; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, and 1C (or 1AH, 1BH, and 1CH), 4BL.Required: Chemistry and Biochemistry 110A, 110B, 113A, C113B, 114 (or 114H), 153A, 171, 172; one additional upper-division chemistry, electrical engineering, or physics laboratory course; and three elective upper-division or graduate courses approved by the physical chemistry adviser. Refer to the Undergraduate Advising Office website for a list of approved electives.",
